price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,tps
7307.8,1000000.0,12000000000000.0,17068381.31,15268989.33,16874466.49,22343401.0,284000000.0,319000000.0,2.37
7425.61,79000000.0,12000000000000.0,17070556.58,15270633.79,16875183.17,22362461.0,208000000.0,218000000.0,2.37
7506.31,75000000.0,12000000000000.0,17072681.92,15271754.6,16878540.41,22358323.0,214000000.0,253000000.0,2.39
7477.76,70000000.0,12000000000000.0,17074757.18,15274998.86,16880682.4,22426477.0,216000000.0,228000000.0,2.34
7612.02,60000000.0,13000000000000.0,17076657.63,15276571.04,16884036.24,22440773.0,149000000.0,105000000.0,2.03
7699.33,62000000.0,13000000000000.0,17078695.43,15278590.07,16887206.22,22452760.0,139000000.0,131000000.0,1.94
7562.08,76000000.0,12000000000000.0,17080983.73,15280595.22,16886177.25,22405582.0,203000000.0,164000000.0,2.38
7495.03,79000000.0,12000000000000.0,17083171.61,15283382.17,16890135.18,22415214.0,192000000.0,195000000.0,2.48
7597.79,70000000.0,13000000000000.0,17085009.42,15285054.0,16892645.43,22424023.0,213000000.0,211000000.0,2.4
7694.3,53000000.0,13000000000000.0,17086797.26,15286577.64,16894494.9,22434416.0,179000000.0,210000000.0,2.4
7619.86,47000000.0,13000000000000.0,17088603.73,15289276.92,16895587.59,22456824.0,158000000.0,182000000.0,2.29
7604.06,42000000.0,13000000000000.0,17090391.41,15290721.77,16896305.45,22475215.0,141000000.0,108000000.0,2.04
7003.18,1400000.0,12000000000000.0,17091979.17,15292434.3,16884289.2,22479700.0,200000000.0,171000000.0,2.06
6750.88,87000000.0,11000000000000.0,17093730.16,15293194.19,16887718.42,22491951.0,240000000.0,286000000.0,2.47
6686.08,91000000.0,11000000000000.0,17095543.13,15297677.1,16881235.85,22488285.0,206000000.0,217000000.0,2.51
6385.62,1200000.0,10000000000000.0,17097331.14,15299445.08,16879875.56,22466263.0,229000000.0,207000000.0,2.46
6503.61,1000000.0,11000000000000.0,17099243.98,15301015.83,16887551.52,22490469.0,246000000.0,255000000.0,2.46
6535.18,71000000.0,11000000000000.0,17101156.84,15304337.89,16885486.94,22493273.0,180000000.0,182000000.0,2.33
6457.19,44000000.0,11000000000000.0,17103232.03,15306061.64,16889179.44,22528466.0,94960000.0,110000000.0,1.8
6500.18,38000000.0,11000000000000.0,17105194.7,15307628.56,16890211.95,22546111.0,135000000.0,108000000.0,1.68
6567.2,71000000.0,11000000000000.0,17107244.89,15309888.01,16898672.6,22553996.0,164000000.0,160000000.0,2.25
6724.65,58000000.0,11000000000000.0,17109182.81,15312166.31,16901609.1,22511854.0,143000000.0,167000000.0,2.23
6677.97,61000000.0,11000000000000.0,17111123.4,15313429.89,16904656.93,22507186.0,140000000.0,154000000.0,2.31
6732.04,47000000.0,11000000000000.0,17113248.89,15315180.31,16906018.24,22536832.0,185000000.0,193000000.0,2.32
6266.46,1200000.0,10000000000000.0,17115137.22,15317901.87,16892688.17,22546678.0,256000000.0,239000000.0,2.34
6126.11,49000000.0,10000000000000.0,17117137.53,15319071.86,16897149.95,22567840.0,99200000.0,109000000.0,1.85
5995.32,99000000.0,10000000000000.0,17119275.33,15321256.95,16898568.9,22586768.0,152000000.0,139000000.0,1.86
6203.85,75000000.0,10000000000000.0,17121238.25,15323312.28,16902410.75,22576574.0,222000000.0,217000000.0,2.34
6182.99,51000000.0,10000000000000.0,17123063.68,15324603.45,16901126.34,22584850.0,147000000.0,145000000.0,2.19
6094.05,51000000.0,10000000000000.0,17124576.47,15326948.89,16903398.32,22585202.0,206000000.0,188000000.0,2.19
6038.43,56000000.0,10000000000000.0,17126539.21,15331196.33,16898817.67,22580595.0,176000000.0,131000000.0,2.27
5946.96,76000000.0,10000000000000.0,17128426.99,15332505.32,16908603.38,22611920.0,168000000.0,155000000.0,2.25
6371.97,66000000.0,10000000000000.0,17130189.68,15335218.25,16914007.56,22593139.0,139000000.0,126000000.0,2.06
6349.61,38000000.0,10000000000000.0,17132027.32,15336041.07,16915321.52,22606111.0,87920000.0,88010000.0,1.78
6513.08,70000000.0,11000000000000.0,17133790.07,15338609.97,16921393.61,22592772.0,193000000.0,178000000.0,2.39
6585.15,60000000.0,11000000000000.0,17135240.35,15339858.95,16920846.82,22581983.0,153000000.0,269000000.0,2.52
6598.59,60000000.0,11000000000000.0,17136915.58,15341927.23,16924066.79,22599740.0,130000000.0,135000000.0,2.34
6580.04,67000000.0,11000000000000.0,17138628.35,15343479.54,16924674.73,22630975.0,211000000.0,194000000.0,2.34
6537.52,50000000.0,11000000000000.0,17140628.56,15345004.15,16927551.17,22701184.0,130000000.0,153000000.0,2.32
6605.07,42000000.0,11000000000000.0,17142578.89,15346364.3,16933891.98,22717458.0,88410000.0,81690000.0,1.91
6735.05,44000000.0,11000000000000.0,17144554.0,15348582.5,16935037.56,22721332.0,95850000.0,84110000.0,1.83
6700.02,52000000.0,11000000000000.0,17146254.17,15350379.09,16934336.14,22730703.0,131000000.0,141000000.0,2.4
6454.43,77000000.0,11000000000000.0,17148117.01,15352201.83,16930160.96,22694575.0,169000000.0,146000000.0,2.49
6348.23,57000000.0,10000000000000.0,17149804.77,15353812.26,16933254.71,22653994.0,135000000.0,161000000.0,2.33
6207.07,70000000.0,10000000000000.0,17151567.63,15355462.11,16930336.79,22293754.0,123000000.0,146000000.0,2.41
6232.87,55000000.0,10000000000000.0,17153355.56,15357001.65,16932544.94,21984569.0,154000000.0,188000000.0,2.39
6235.83,32000000.0,10000000000000.0,17155018.66,15358514.73,16935389.34,21702924.0,56050000.0,78610000.0,2.03
6326.71,41000000.0,10000000000000.0,17156681.48,15360435.85,16938992.87,21663747.0,73100000.0,78150000.0,1.83
6546.12,85000000.0,11000000000000.0,17158181.66,15362168.72,16949544.21,21662760.0,198000000.0,139000000.0,2.48
7028.58,1200000.0,12000000000000.0,17160169.4,15363931.11,16962648.38,21650995.0,242000000.0,173000000.0,2.69
7405.56,1300000.0,12000000000000.0,17162344.6,15365939.31,16966378.87,21620598.0,252000000.0,224000000.0,2.7
7404.23,90000000.0,12000000000000.0,17164482.72,15369276.58,16970017.82,21617460.0,193000000.0,186000000.0,2.6
7424.51,1000000.0,12000000000000.0,17166408.19,15372044.57,16969542.36,21636584.0,240000000.0,180000000.0,2.62
7335.36,53000000.0,12000000000000.0,17168120.93,15373369.44,16972307.43,21648415.0,115000000.0,98910000.0,2.16
7447.68,57000000.0,12000000000000.0,17170396.08,15375736.0,16974009.88,21687391.0,81420000.0,89790000.0,1.94
7681.94,1200000.0,13000000000000.0,17172471.3,15377615.81,16982550.19,21633216.0,246000000.0,174000000.0,2.65
8102.74,1800000.0,13000000000000.0,17174459.08,15379089.88,16994075.4,21672682.0,321000000.0,252000000.0,3.0
8242.76,1200000.0,14000000000000.0,17176671.97,15381496.91,16993123.21,21676212.0,244000000.0,232000000.0,2.88
8130.7,1000000.0,14000000000000.0,17178735.07,15383397.34,16991026.38,21710321.0,178000000.0,177000000.0,2.66
8029.5,1100000.0,13000000000000.0,17180823.05,15385311.18,16996366.48,21751906.0,186000000.0,207000000.0,2.69
8169.75,59000000.0,14000000000000.0,17182635.79,15386636.63,16998493.65,21736159.0,91930000.0,69450000.0,2.1
8202.54,53000000.0,14000000000000.0,17184761.04,15388733.21,17000907.73,21774539.0,75920000.0,69750000.0,2.0
8093.5,1100000.0,13000000000000.0,17186436.29,15390678.11,17001982.62,21785249.0,203000000.0,167000000.0,2.67
7847.74,1300000.0,13000000000000.0,17188274.06,15391734.42,16997603.78,21777381.0,225000000.0,174000000.0,2.82
7559.24,1000000.0,13000000000000.0,17190149.37,15393209.48,16997028.15,21792818.0,197000000.0,216000000.0,2.76
7574.31,75000000.0,13000000000000.0,17192062.29,15394932.33,16998487.02,21790543.0,167000000.0,124000000.0,2.58
7390.04,1000000.0,12000000000000.0,17194137.53,15396809.55,16998633.27,21820785.0,217000000.0,186000000.0,2.69
7181.78,87000000.0,12000000000000.0,17196337.86,15398863.84,16993776.25,21840771.0,107000000.0,107000000.0,2.23
6989.29,57000000.0,12000000000000.0,17198338.0,15400912.87,16995890.89,21862738.0,97180000.0,72200000.0,1.98
6984.08,66000000.0,12000000000000.0,17199975.78,15401864.21,16995754.51,21850105.0,120000000.0,155000000.0,2.54
6941.15,96000000.0,11000000000000.0,17201863.62,15404123.51,16993900.03,21839922.0,165000000.0,139000000.0,2.74
6417.31,1300000.0,11000000000000.0,17203826.48,15406433.37,16985191.34,21859176.0,233000000.0,197000000.0,2.65
6405.57,1000000.0,11000000000000.0,17205689.38,15408113.82,16992536.88,21849872.0,188000000.0,199000000.0,2.59
6337.87,1100000.0,10000000000000.0,17207889.57,15409557.85,16986107.72,21849399.0,154000000.0,182000000.0,2.6
6203.77,93000000.0,10000000000000.0,17210014.76,15410715.47,16992257.36,21846301.0,128000000.0,126000000.0,2.22
